description,1003,1004,1005,1008,1062
"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",,1.22125,,,
"APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C, SHELF STABLE",,0.28625,,,
"APPLES, FUJI",,0.1625,,,
"APPLES, FUJI, WITH SKIN, RAW",,0.1625,,,
"APPLES, GALA",,0.15000000000000002,,,
"APPLES, GALA, WITH SKIN, RAW",,0.15000000000000002,,,
"APPLES, GRANNY SMITH",,0.1375,,,
"APPLES, GRANNY SMITH, WITH SKIN, RAW",,0.1375,,,
"APPLES, HONEYCRISP",,0.1,,,
"APPLES, HONEYCRISP, WITH SKIN, RAW",,0.1,,,
"APPLES, RED DELICIOUS",,0.2125,,,
"APPLES, RED DELICIOUS, WITH SKIN, RAW",,0.2125,,,
"Almond butter, creamy",20.78734,53.04,21.23666,,
"Almond milk, unsweetened, plain, refrigerated",0.65625,1.558,0.67075,,
"Almond milk, unsweetened, plain, shelf stable",0.5546875,1.221,0.3371125,,
Almonds dry roasted salted,,57.74615384615385,,,
American Cheese,,31.133333333333333,,,
American cheese,,31.127586206896552,,,
"American pasteurized prepared cheese product, with added vitamin D, sliced, individually wrapped",,22.3425,,,
"American pasteurized process cheese food, sliced, individually wrapped",,27.185000000000002,,,
"American pasteurized process cheese food, with added vitamin D, sliced, individually wrapped",,22.44,,,
"American pasteurized process cheese product, sliced, individually wrapped",,24.7,,,
"Anchovies, canned in olive oil, with salt, drained",26.9375,9.853285714285715,2.4095,,
"Apple juice, with added vitamin C, from concentrate, shelf stable",0.0859375,0.2863,11.3639625,,
"Apples, fuji, with skin, raw",0.14921875,0.16125,15.67558125,65.0,271.0
"Apples, gala, with skin, raw",0.13140625,0.15,14.78404375,61.0,256.0
"Apples, granny smith, with skin, raw",0.2678125,0.13875,14.1714875,59.0,247.0
"Apples, honeycrisp, with skin, raw",0.10078125,0.1,14.69096875,60.0,252.0
"Apples, red delicious, with skin, raw",0.18875,0.21125,14.79085,62.0,258.0
"Applesauce, unsweetened, with added vitamin C",0.2734375,0.1625,12.2615625,,
"Apricot, with skin, pitted, raw",,0.405,,,
"Apricot, with skin, raw",0.96125,0.405,10.23875,,
"Arugula, baby, raw",1.64875,0.326875,5.36825,,
"Arugula, baby, raw ",,0.31,,,
"Asparagus, green, raw",1.4375,0.2163,5.1012,,
"Asparagus, green, whole spear, raw",,0.21625,,,
"Avocado, Hass, peeled, pit removed, raw",,20.30875,,,
"Avocado, Hass, peeled, raw",1.8125,20.31,8.3235,,
"BANANAS, OVERRIPE",,0.22333333333333336,,,
"BANANAS, RIPE",,0.21833333333333335,,,
"BANANAS, SLIGHTLY RIPE",,0.36833333333333335,,,
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",,28.599999999999998,,,
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",,32.5,,,
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",,27.366666666666664,,,
Bacon,,37.42142857142857,,,
"Bacon, cooked",,34.523809523809526,,,
Bacon; cooked,,36.63333333333333,,,
"Bananas, overripe, raw",0.73,0.22,20.1,85.0,357.0
"Bananas, ripe and slightly ripe, raw",0.74,0.29,23.0,97.0,408.0
"Beans, Dry, Black (0% moisture)",24.4,1.45,,,
"Beans, Dry, Black, 11F-8000 (0% moisture)",26.1,1.45,,,
"Beans, Dry, Black, 11F-8002 (0% moisture)",25.2,1.35,,,
"Beans, Dry, Black, 11F-8003 (0% moisture)",23.9,1.67,,,
"Beans, Dry, Black, 11F-8013 (0% moisture)",26.0,1.11,,,
"Beans, Dry, Black, 11F-8015 (0% moisture)",24.0,1.46,,,
"Beans, Dry, Black, 11F-8016 (0% moisture)",21.7,1.55,,,
"Beans, Dry, Black, 11F-8020 (0% moisture)",25.8,1.11,,,
"Beans, Dry, Black, 11F-8023 (0% moisture)",23.1,1.32,,,
"Beans, Dry, Black, 11F-8029 (0% moisture)",24.8,1.75,,,
"Beans, Dry, Black, 11F-8036 (0% moisture)",23.2,1.07,,,
"Beans, Dry, Black, 11F-8039 (0% moisture)",25.7,1.28,,,
"Beans, Dry, Black, 11F-8044 (0% moisture)",23.5,1.49,,,
"Beans, Dry, Black, 11F-8045 (0% moisture)",26.2,1.62,,,
"Beans, Dry, Black, 11F-8046 (0% moisture)",24.6,1.23,,,
"Beans, Dry, Black, 11F-8062 (0% moisture)",24.3,1.29,,,
"Beans, Dry, Black, 11F-8112 (0% moisture)",21.9,1.33,,,
"Beans, Dry, Black, 11F-8116 (0% moisture)",26.0,1.15,,,
"Beans, Dry, Black, 11F-8117 (0% moisture)",25.1,1.28,,,
"Beans, Dry, Black, 11F-8119 (0% moisture)",25.3,1.37,,,
"Beans, Dry, Black, 11F-8122 (0% moisture)",24.2,1.08,,,
"Beans, Dry, Black, 11F-8123 (0% moisture)",23.6,1.44,,,
"Beans, Dry, Black, 11F-8129 (0% moisture)",24.6,0.96,,,
"Beans, Dry, Black, 11F-8135 (0% moisture)",25.1,1.06,,,
"Beans, Dry, Black, 11F-8140 (0% moisture)",26.3,1.14,,,
"Beans, Dry, Black, 11F-8146 (0% moisture)",26.0,1.05,,,
"Beans, Dry, Black, 11F-8150 (0% moisture)",24.4,1.12,,,
"Beans, Dry, Black, 11F-8158 (0% moisture)",24.9,0.97,,,
